sample	location	year	sample type	species	subspecies	serotype	antigenic formula	ampicillin	azitromicin	cefotaxime	ceftazidime	chloramphenicol	ciprofloxacin	colistin	gentamicin	meropenem	nalidixic acid	sulfamethoxazole	tetraciclin	tigecycline	trimethoprim
100535	Avellino	2020	meat	chicken/turkey	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	R	NI	S	S	R	R	S	S	S	R	NI	R	S	R
111772	Avellino	2017	feces	human	S. enterica subsp. enterica	S. Napoli	9,12:l,z13:e,n,x	S	NI	S	S	S	S	R	S	S	S	NI	S	S	S
49535	Avellino	2020	feed	NA	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	S	NI	S	S	S	S	S	S	S	S	NI	S	S	S
27668	Avellino	2020	feed	NA	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	S	NI	S	S	S	S	S	S	S	S	NI	S	S	S
94721	Avellino	2020	meat products	chicken	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	R	NI	S	S	R	R	S	S	S	R	NI	S	S	R
94222	Benevento	2020	meat	chicken	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	R	NI	S	S	S	R	S	S	S	R	NI	R	S	R
142725	Cosenza	2020	meat	chicken/turkey	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	R	NI	R	R	S	R	S	S	S	R	NI	R	S	R
91549	Cosenza	2020	meat	chicken/turkey	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	R	NI	R	R	S	R	S	S	S	R	NI	R	S	R
88982	Napoli	2020	meat	chicken	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	S	NI	S	S	S	R	S	S	S	R	NI	R	S	R
97219	Napoli	2020	meat	chicken	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	R	NI	S	S	R	R	S	S	S	R	NI	S	S	R
93702	Napoli	2020	meat	chicken	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	R	NI	S	S	R	R	S	S	S	R	NI	S	S	R
79106	Napoli	2020	meat	chicken	S. enterica subsp. enterica	S. Infantis	6,7:R:1,5	S	NI	S	S	S	R	S	S	S	R	NI	S	S	R
85877	Napoli	2020	meat	chicken/turkey	S. enterica subsp. enterica	S. Sandiego	4,5,12:eh:e,n,z15	S	NI	S	S	S	R	S	S	S	S	NI	R	S	T
85427	Napoli	2020	meat	chicken/turkey	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	S	NI	S	S	S	R	S	S	S	R	NI	R	S	S
136943	Napoli	2020	meat	chicken/turkey	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	R	NI	R	R	S	R	S	S	S	R	NI	R	S	R
137426	Napoli	2020	meat	chicken/turkey	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	S	NI	S	S	S	R	S	S	S	R	NI	S	S	R
132426	Napoli	2020	meat	chicken/turkey/pig	S. enterica subsp. enterica	S. Infantis	6,7:r:1,5	S	NI	S	S	S	R	S	S	S	R	NI	R	S	R
32790	Napoli	2017	feces	human	S. enterica subsp. enterica	S. Napoli	9,12:l,z13:e,n,x	S	NI	S	S	S	S	S	S	S	S	NI	S	S	S
