#FILE 100535 100658 102333 102335 102338 103477 103504 106981 111772 113877 113879 113891 11514 132426 136943 137426 138448 141266 142725 145704 27431 27668 32790 49535 79106 85427 85877 88982 91549 92044 93702 94222 94721 94831 97219 97504 99339 99341
Col440II_1 . . . . . . . . . . . . . . . . . . . . . . . . . . 95.04;95.74 . . . . . . . . . . .
Col8282_1 . . . . . . . . . . . . . . . . . . . . . . . . . . 99.03 . . 97.58 . . . . . . . .
IncFIB(AP001918)_1 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 88.42 . 88.42 . 88.42 . . .
IncFIB(K)_1_Kpn3 99.64 99.64 99.64 . . . . . . . . . . 99.64 99.64 99.64 99.64 . 99.64 99.64 . . . . 99.64 99.64 . 99.64 99.64 99.64 99.64 99.64 99.64 . 99.64 . . .
IncFIB(pB171)_1_pB171 . . . . . . . . . . . . 80.72 . . . . . . . . . . . . . . . . . . . . . . . . .
IncFIB(pENTE01)_1_pENTE01 . . . . 74.82 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
IncFII(p96A)_1_p96A . . . . . 74.16 . . . . . . . . . . . . . . . . . . . . . . . . 73.41 . 73.41 . 73.41 . . .
IncN2_1 . . . . . . . . . . . . . . . . . . . . . . 97.48 . . . . . . . . . . . . . . .
IncX1_1 100.00 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 100.00 . . . . . . . .
IncX1_4 . . . . . . . . . . . . . . . . . . . 100.00 . . . . . . . . . . . . . . . . . .
IncX4_1 . 100.00 100.00 . . . . . . . . . . . . . . . . . . . . . . . . . . 100.00 . . . . . . . .
IncX8_1 . 88.81 88.81 . . . . . . . . . . . . . . . . . . . . . . . . . . 88.81 . . . . . . . .
