49535	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
49535	PROKKA_00015	31	2087	+	cadA	70-2126/2176	========/======	10/18	94.12	69.56	ecoli_vf	SPG000027	gb|AY319765.1|:1081-3256 Escherichia coli cadBA operon partial sequence	
49535	PROKKA_00107	1	438	+	ppdD	1-441/441	========/======	3/5	99.09	80.54	ecoli_vf	gi:15799792	putative major pilin subunit	
49535	PROKKA_00108	78	1378	+	hofB	78-1378/1386	========/======	8/24	93.00	70.98	ecoli_vf	gi:15799791	hypothetical protein	
49535	PROKKA_00109	151	1203	+	hofC	151-1203/1203	.=======/======	8/12	87.03	71.20	ecoli_vf	gi:15799790	type IV pilin biogenesis protein	
49535	PROKKA_00871	1	948	+	flgL	1-948/954	========/======	2/2	99.27	76.29	ecoli_vf	gi:15801200	flagellar hook-associated protein FlgL	
49535	PROKKA_00872	1	1662	+	flgK	1-1644/1644	========/======	17/50	99.03	74.31	ecoli_vf	gi:15801199	flagellar hook-associated protein FlgK	
49535	PROKKA_00873	1	947	+	flgJ	1-938/942	========/======	2/9	99.58	78.04	ecoli_vf	gi:15801198	flagellar rod assembly protein/muramidase FlgJ	
49535	PROKKA_00874	1	1098	+	flgI	1-1098/1098	========/======	2/6	99.73	79.66	ecoli_vf	gi:15801197	flagellar basal body P-ring protein	
49535	PROKKA_00875	22	666	+	flgH	55-699/699	.==============	0/0	92.27	81.70	ecoli_vf	gi:15801196	flagellar basal body L-ring protein	
49535	PROKKA_00876	1	783	+	flgG	1-783/783	===============	0/0	100.00	85.95	ecoli_vf	gi:15801195	flagellar basal body rod protein FlgG	
49535	PROKKA_00877	1	756	+	flgF	1-756/756	========/======	2/4	99.74	77.57	ecoli_vf	gi:15801194	flagellar basal body rod protein FlgF	
49535	PROKKA_00878	1	1212	+	flgE	1-1206/1206	========/======	5/10	99.83	78.91	ecoli_vf	gi:15801193	flagellar hook protein FlgE	
49535	PROKKA_00879	1	699	+	flgD	1-696/696	========/======	1/3	100.00	75.54	ecoli_vf	gi:15801192	flagellar basal body rod modification protein	
49535	PROKKA_00880	2	405	+	flgC	2-405/405	===============	0/0	99.75	79.70	ecoli_vf	gi:15801191	flagellar basal body rod protein FlgC	
49535	PROKKA_00881	1	417	+	flgB	1-417/417	===============	0/0	100.00	76.02	ecoli_vf	gi:15801190	flagellar basal body rod protein FlgB	
49535	PROKKA_00882	142	660	+	flgA	142-660/660	...=====/======	5/18	77.27	72.35	ecoli_vf	gi:15801189	flagellar basal body P-ring biosynthesis protein FlgA	
49535	PROKKA_00884	1	421	+	flgN	1-415/417	========/======	5/12	98.80	73.11	ecoli_vf	gi:15801187	flagella synthesis protein FlgN	
49535	PROKKA_00910	1	321	+	csgC	1-321/333	========/======	5/6	95.50	74.38	ecoli_vf	gi:15801160	putative autoagglutination protein	
49535	PROKKA_00911	1	456	+	csgA	1-459/459	========/======	1/3	99.35	73.20	ecoli_vf	gi:15801159	cryptic curlin major subunit	
49535	PROKKA_00912	13	495	+	csgB	1-483/483	========/======	2/2	99.79	84.71	ecoli_vf	VFG045792	minor curlin subunit CsgB	
49535	PROKKA_00913	1	651	+	csgD	1-651/651	===============	0/0	100.00	82.03	ecoli_vf	gi:15801157	DNA-binding transcriptional regulator CsgD	
49535	PROKKA_00914	1	396	+	csgE	1-390/390	========/======	1/6	100.00	79.29	ecoli_vf	gi:15801156	curli assembly protein CsgE	
49535	PROKKA_00915	1	417	+	csgF	1-417/417	========/======	3/8	99.04	81.23	ecoli_vf	gi:15801155	curli assembly protein CsgF	
49535	PROKKA_00916	1	834	+	csgG	1-834/834	===============	0/0	100.00	83.33	ecoli_vf	gi:15801154	curli production assembly/transport component 2nd curli operon	
49535	PROKKA_00928	11	318	+	ppdc	11-318/324	========/======	2/2	94.75	74.76	ecoli_vf	SPG000140	Pilin-like protein minor pilin or pseudopilin Adherence Hemorrhagic coli pilus	
49535	PROKKA_00930	19	564	+	ppdb	19-564/564	===============	0/0	96.81	69.23	ecoli_vf	SPG000112	Pilin-like protein minor pilin or pseudo pilin Adherence Hemorrhagic coli pilus	
49535	PROKKA_00931	1	440	+	ppda	1-440/471	========/======	4/4	92.99	71.49	ecoli_vf	SPG000131	Pilin-like protein minor pilin or pseudo pilin Adherence Hemorrhagic coli pilus	
49535	PROKKA_01040	1	938	+	yggr	1-938/981	========/======	4/12	95.01	75.21	ecoli_vf	SPG000074	Retraction ATPase Adherence Hemorrhagic coli pilus	
49535	PROKKA_01165	13	1623	+	nadb	13-1623/1623	========/======	2/2	99.20	80.33	ecoli_vf	SPG000049	Escherichia coli str. K-12 substr. MG1655 complete genome	
49535	PROKKA_01193	1	2133	+	cadA	40-2172/2176	===============	0/0	98.02	82.98	ecoli_vf	SPG000027	gb|AY319765.1|:1081-3256 Escherichia coli cadBA operon partial sequence	
49535	PROKKA_01730	1	2886	+	ehaB	1-2889/2889	========/======	22/55	99.00	77.53	ecoli_vf	gi:218693832	flagellin structural protein; protein	
49535	PROKKA_02079	28	391	+	flhE	28-391/393	.==============	0/0	92.62	68.96	ecoli_vf	gi:15802290	flagellar protein	
49535	PROKKA_02080	6	2077	+	flhA	6-2077/2079	===============	0/0	99.66	82.19	ecoli_vf	gi:15802291	flagellar biosynthesis protein FlhA	
49535	PROKKA_02081	1	1136	+	flhB	1-1133/1149	========/======	1/3	98.61	80.19	ecoli_vf	gi:15802292	flagellar biosynthesis protein FlhB	
49535	PROKKA_02082	4	646	+	cheZ	1-643/645	===============	0/0	99.69	82.43	ecoli_vf	gi:15802293	chemotaxis regulator CheZ	
49535	PROKKA_02083	1	390	+	cheY	1-390/390	===============	0/0	100.00	82.82	ecoli_vf	gi:15802294	chemotaxis regulatory protein CheY	
49535	PROKKA_02084	1	1048	+	cheB	1-1048/1050	===============	0/0	99.81	82.16	ecoli_vf	gi:15802295	chemotaxis-specific methylesterase	
49535	PROKKA_02085	1	861	+	cheR	1-861/861	===============	0/0	100.00	80.37	ecoli_vf	gi:15802296	chemotaxis methyltransferase CheR	
49535	PROKKA_02086	1	1548	+	tar/cheM	1-1548/1662	========/======	2/2	93.08	76.63	ecoli_vf	gi:15802298	methyl-accepting chemotaxis protein II	
49535	PROKKA_02087	1	504	+	cheW	1-504/504	===============	0/0	100.00	80.56	ecoli_vf	gi:15802299	purine-binding chemotaxis protein	
49535	PROKKA_02088	1	2016	+	cheA	1-1965/1965	========/======	14/61	99.75	76.79	ecoli_vf	gi:15802300	chemotaxis protein CheA	
49535	PROKKA_02089	1	930	+	motB	1-927/927	========/======	2/3	100.00	79.78	ecoli_vf	gi:15802301	flagellar motor protein MotB	
49535	PROKKA_02090	1	888	+	motA	1-888/888	===============	0/0	100.00	83.11	ecoli_vf	gi:15802302	flagellar motor protein MotA	
49535	PROKKA_02091	1	579	+	flhC	1-579/579	===============	0/0	100.00	81.35	ecoli_vf	gi:15802303	transcriptional activator FlhC	
49535	PROKKA_02092	1	311	+	flhD	10-320/360	==============.	0/0	86.39	80.06	ecoli_vf	gi:15802304	transcriptional activator FlhD	
49535	PROKKA_02118	1	801	+	fliY	1-801/801	===============	0/0	100.00	83.77	ecoli_vf	gi:15802355	cystine transporter subunit	
49535	PROKKA_02119	1	486	+	fliZ	37-522/588	==============.	0/0	82.65	78.60	ecoli_vf	gi:15802356	flagella biosynthesis protein FliZ	
49535	PROKKA_02120	1	719	+	fliA	1-719/720	===============	0/0	99.86	85.81	ecoli_vf	gi:15802357	flagellar biosynthesis sigma factor	
49535	PROKKA_02131	1	314	+	fliE	1-314/315	===============	0/0	99.68	80.89	ecoli_vf	gi:15802372	flagellar hook-basal body protein FliE	
