#FILE	NUM_FOUND	(AGly)aac6-Iy	(AGly)aadA2	(Bla)AmpC1_Ecoli	(Bla)Penicillin_Binding_Protein_Ecoli	(Bla)ampH_Ecoli	(Bla)blaTEM-105	(Phe)cmlA1	(Tet)tet(34)	(Tmt)dfrA14	AAC(6')-Iy	AAC6-PRIME	ACRA	ACRB	ACRD	ACRE	ACRF	ACRS	ACT	AMPH	ANT3-DPRIME	ARNA	ASMA	BACA	BAER	BAES	BCR	CMLA	CPXAR	CRP	DFRA	ECS88_3547	EMRA	EMRB	EMRD	EMRR	EPTA	Escherichia_coli_acrA	Escherichia_coli_ampC1_beta-lactamase	Escherichia_coli_ampH	Escherichia_coli_mdfA	GENE	GESA	GESB	GESC	H-NS	HNS	IlpA	IncFIB(K)_1_Kpn3	IncX1_1	KDPE	KMRA	KPNO	Klebsiella_pneumoniae_KpnF	Klebsiella_pneumoniae_OmpK37	MARA	MARR	MDFA	MDTA	MDTB	MDTC	MDTG	MDTH	MDTI	MDTJ	MDTK	MDTM	MSBA	OMP37	OMPD	OXA	PBP2	PBP4B	PHOR	PMRBM	PMRF	PMRG	RAMA	ROBA	ROSA	ROSB	SDIA	SOXS	TEM	TEM-1	TET34	UGD	YOGI	aac(6')-Iaa_1	aadA2	aadA2_1	acrB	acrD	acrE	acrF	acrS	arnA	artj	avrA	bacA	baeR	baeS	blaTEM-1	blaTEM-1B_1	cadA	ccdb	cheA	cheB	cheD	cheR	cheW	cheY	cheZ	clpC	clpH	clpP	cmlA1	cmlA1_1	cpxA	csgA	csgB	csgC	csgD	csgE	csgF	csgG	dfrA14	dfrA14_4	draA	ehaB	emrA	emrB	emrR	entA	entB	entC	entE	entF	entS	epaP	epaQ	eptA	faeC	faeD	faeE	faeF	faeH	faeI	fepA	fepB	fepC	fepD	fepE	fepG	fes	fimC	fimD	fimF	fimH	fimI	flgA	flgB	flgC	flgD	flgE	flgF	flgG	flgH	flgI	flgJ	flgK	flgL	flgN	flhA	flhB	flhC	flhD	flhE	fliA	fliE	fliF	fliG	fliH	fliI	fliJ	fliL	fliM	fliN	fliP	fliQ	fliR	fliS	fliY	fliZ	fyuA	galU	gmhA/lpcA	golS	gtrA	gtrB	hofB	hofC	hofq	hsiB1/vipA	hsiC1/vipB	htpB	ibeC	int	invA	invB	invC	invE	invF	invG	invH	invI	invJ	iroB	iroC	iroD	iroE	iroN	irp1	irp2	kdpE	kdsA	kdsB	lpfA	lpfB	lpfC	lpfD	lpfE	lpxB	lpxC	luxS	manB	marA	mdf(A)_1	mdsA	mdsB	mdsC	mdtA	mdtB	mdtC	mdtG	mdtH	mdtK	mdtM	mgtB	mgtC	mig-14	misL	motA	motB	msbA	nada	nadb	nleB1	ompA	orgA	orgB	orgC	pilW	pipB	pipB2	pla	pmrF	ppdD	ppda	ppdb	ppdc	prgH	prgI	prgJ	prgK	ramA	ratB	rfaD	rfaE	rosA	rosB	sdiA	shdA	sicA	sicP	sifA	sinH	sipA/sspA	sipB/sspB	sipC/sspC	sipD	sitA	sitB	sitC	sitD	slrP	sopA	sopB/sigD	sopD	sopD2	sopE2	spaO	spaP	spaQ	spaR	spaS	spiC/ssaB	sptP	ssaC	ssaD	ssaE	ssaG	ssaH	ssaI	ssaJ	ssaK	ssaL	ssaM	ssaN	ssaO	ssaP	ssaQ	ssaR	ssaS	ssaT	ssaU	ssaV	sscA	sscB	sseA	sseB	sseC	sseD	sseE	sseF	sseG	sseJ	sseK1	sseK2	sseL	sspH2	steA	steC	tar/cheM	tet(34)	tet(34)_1	tolC	ugd	wzx-O75	ybtA	ybtE	ybtP	ybtQ	ybtS	ybtT	ybtU	ybtX	yggr	yojI
annotation/abricate/100535_argannot.out	10	100.00	100.00	88.58	100.00	100.00	100.00	100.00	75.48	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	%COVERAGE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
annotation/abricate/100535_card.out	50	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	88.58	100.00	98.86	%COVERAGE	.	.	.	100.00	.	.	.	.	.	.	.	99.70	98.93;98.76;86.22;96.09	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	99.40	99.97	98.53	99.10	91.55	96.48	.	.	99.39	99.86	99.79	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	99.49	.	.	.	.	.	.	.	98.14	.	.	.	99.91	100.00	100.00	.	.	.	.	.	.	.	.	99.88	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.12	.	.	.	.	.	.	.	.	.	.	.	91.15	.	100.00	100.00	96.43	99.36	99.97	99.03	97.47;89.57	99.75	100.00	96.76	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	97.21	.	.	.	.	.	.	.	.	91.20	.	.	.	75.51	95.04	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	97.51	99.83	.	.	.	.	.	.	.	.	.	.	99.64
annotation/abricate/100535_ecoh.out	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	%COVERAGE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	81.60	.	.	.	.	.	.	.	.	.	.
annotation/abricate/100535_ecoli_vf.out	111	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	%COVERAGE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	79.78;99.86	.	.	.	.	.	.	94.12;98.02	79.00	99.75	99.81	.	100.00	100.00	100.00	99.69	95.03	98.00	.	.	.	.	99.35	99.79	95.50	100.00	100.00	99.04	100.00	.	.	71.57	99.00	.	.	.	97.46	99.18	98.82	99.07	98.17	98.08	92.79	79.31	.	.	96.60	86.18;82.35	.	.	97.65	99.24	90.70	96.45	97.35	83.51	91.54	96.92	.	.	.	.	100.00	77.27	100.00	99.75	100.00	99.83	99.74	100.00	92.27	99.73	99.58	99.03	99.27	98.80	99.66	98.61	100.00	86.39	92.62	99.86	99.68	99.40	99.80	81.66	99.49	100.00	98.92	100.00	99.76	95.66	99.63	99.62	.	100.00	82.65	100.00	.	.	.	.	.	93.00	87.03	96.05	.	.	.	99.94	100.00	.	.	.	.	.	.	.	.	.	94.59	96.23	90.98	85.58	99.77	100.00	99.71	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	99.23	99.20	89.80;90.40	100.00	.	.	.	.	.	.	.	.	99.09	92.99	96.81	94.75	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	85.14	94.08	96.74	74.97	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	93.08	.	.	.	.	.	100.00	100.00	100.00	98.52	99.62	100.00	94.83	91.24	95.01	.
annotation/abricate/100535_megares.out	65	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.40	100.00	98.53	99.10	91.55	96.55	100.00	100.00	96.48	99.57	99.39	100.00	100.00	100.00	87.20	99.49;100.00	100.00	100.00	.	99.91	100.00	99.41	100.00	99.88	.	.	.	.	%COVERAGE	100.00	100.00	96.43	.	100.00	.	.	.	99.12	95.20	98.82;74.68	.	.	91.15	99.54	98.86	100.00	100.00	100.00	97.47;89.57	99.75	98.18	92.90	100.00;99.20	96.76	100.00	98.93;98.76;86.22	92.55	100.00	100.00	88.58	96.32	75.16	97.21	100.00	91.20	100.00	75.51	95.04	100.00	99.69	100.00	.	75.48	99.83	99.64	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
annotation/abricate/100535_ncbi.out	6	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	%COVERAGE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.48	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	75.48	.	.	.	.	.	.	.	.	.	.	.	.	.	.
annotation/abricate/100535_plasmidfinder.out	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	%COVERAGE	.	.	.	.	.	.	99.64	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
annotation/abricate/100535_resfinder.out	8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	%COVERAGE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	95.24	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.86	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	75.48	.	.	.	.	.	.	.	.	.	.	.	.	.
annotation/abricate/100535_vfdb.out	179	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	%COVERAGE	.	.	.	.	.	87.41	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	94.39	.	.	.	.	.	.	.	.	96.48	89.55	98.67	91.37	99.49	87.29	.	.	90.45	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	71.57	.	.	.	.	97.46	99.18	98.82	99.07	98.17	98.08	.	.	.	91.58	96.60	91.25	86.59	98.37	97.65	99.24	90.70	96.45	97.35	.	91.54	96.92	100.00	100.00	100.00	100.00	100.00	.	96.62	96.79	.	.	99.47	99.69	80.85	95.73	.	.	.	.	99.28	96.01	95.36	76.39	.	95.71	.	80.89	98.69	.	92.57	.	.	99.20	.	98.40	91.48	.	83.71	.	.	100.00	91.78	70.60	.	100.00	74.52	.	.	.	85.93	83.30	98.91	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	94.59	96.23	90.98	85.58	99.77	100.00	100.00	.	96.61	92.55	97.77	100.00	100.00	100.00	100.00	78.52	93.14	80.15	74.98;74.62	.	.	.	.	.	.	.	.	.	.	.	.	100.00	98.28	100.00	100.00	93.24	.	.	.	.	.	100.00	96.50	97.65	100.00	75.68	100.00	100.00	84.03	.	.	.	.	.	100.00	100.00	100.00	100.00	.	100.00	98.60	77.64	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	95.52	98.53	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.64	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.62	99.08	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	96.28	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	100.00	100.00	100.00	99.62	100.00	100.00	100.00	.	.
