94222	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
94222	PROKKA_00001	1	363	+	gtrA	1-363/363	===============	0/0	100.00	74.38	vfdb	NP_706257	(gtrA) bactoprenol-linked glucose translocase/flippase [LPS (VF0124)] [Shigella flexneri 2a str. 301]	
94222	PROKKA_00007	1	519	+	fimF	1-519/519	===============	0/0	100.00	98.46	vfdb	NP_459543	(fimF) type I fimbriae adaptor protein FimF [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00008	1	1008	+	fimH	1-1008/1008	===============	0/0	100.00	98.21	vfdb	NP_459542	(fimH) type I fimbriae minor fimbrial subunit FimH adhesin [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00009	1	2613	+	fimD	1-2613/2613	===============	0/0	100.00	98.81	vfdb	NP_459541	(fimD) usher protein FimD [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00010	1	693	+	fimC	1-693/693	===============	0/0	100.00	98.70	vfdb	NP_459540	(fimC) chaperone protein FimC [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00011	1	534	+	fimI	1-534/534	===============	0/0	100.00	99.06	vfdb	NP_459539	(fimI) fimbrial protein internal segment [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00106	58	599	+	clpP	19-560/597	========/======	3/4	90.45	65.07	vfdb	NP_465991	(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]	
94222	PROKKA_00244	130	542	+	gmhA/lpcA	130-542/585	...===========.	0/0	70.60	77.72	vfdb	NP_439337	(gmhA/lpcA) phosphoheptose isomerase [LOS (CVF494)] [Haemophilus influenzae Rd KW20]	
94222	PROKKA_00292	232	1487	+	hsiC1/vipB	229-1481/1497	..======/======	7/15	83.30	74.64	vfdb	NP_248774	(hsiC1/vipB) type VI secretion system tubule-forming protein VipB [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]	
94222	PROKKA_00293	22	467	+	hsiB1/vipA	22-467/519	==============.	0/0	85.93	70.18	vfdb	NP_248773	(hsiB1/vipA) type VI secretion system tubule-forming protein VipA [HSI-I (VF0334)] [Pseudomonas aeruginosa PAO1]	
94222	PROKKA_00317	28	848	+	galU	4-830/888	========/======	7/18	91.78	69.99	vfdb	NP_438972	(galU) glucosephosphate uridylyltransferase [LOS (CVF494)] [Haemophilus influenzae Rd KW20]	
94222	PROKKA_00372	1	1374	+	steC	1-1374/1374	===============	0/0	100.00	98.54	vfdb	NP_460656	(steC) type III secretion system effector SteC [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00439	1	1227	+	sseJ	1-1227/1227	===============	0/0	100.00	99.76	vfdb	NP_460590	(sseJ) type III secretion system effector SseJ glycerophospholipid:cholesterol acyltransferase [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00487	1	633	+	steA	1-633/633	===============	0/0	100.00	94.79	vfdb	NP_460542	(steA) type III secretion system effector SteA [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00638	1	2349	+	sopA	1-2349/2349	===============	0/0	100.00	98.68	vfdb	NP_461011	(sopA) type III secretion system effector SopA E3 ubiquitin ligase [TTSS(SPI-1 encode) (VF0116)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
94222	PROKKA_00723	1	247	+	fliQ	1-247/270	==============.	0/0	91.48	72.47	vfdb	YP_001006752	(fliQ) flagellar biosynthetic protein FliQ [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00724	61	737	+	fliP	10-686/687	========/======	2/2	98.40	75.37	vfdb	YP_001006751	(fliP) flagellar biosynthetic protein FliP [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00727	1	1001	+	fliM	1-998/1005	========/======	3/5	99.20	75.85	vfdb	YP_001006748	(fliM) flagellar motor switch protein FliM [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00731	76	1316	+	fliI	43-1280/1332	========/======	6/13	92.57	74.08	vfdb	YP_001006744	(fliI) flagellum-specific ATP synthase FliI [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00733	15	994	+	fliG	12-991/993	===============	0/0	98.69	79.08	vfdb	YP_001006742	(fliG) flagellar motor switch protein G [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00734	55	1445	+	fliF	61-1466/1701	========/=====.	23/45	80.89	68.26	vfdb	YP_001006741	(fliF) flagellar M-ring protein FliF [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00742	41	374	+	fliS	41-374/399	.==============	0/0	83.71	70.06	vfdb	YP_001006732	(fliS) flagellar protein FliS [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00746	10	702	+	fliA	10-702/723	========/======	2/2	95.71	76.08	vfdb	YP_001006726	(fliA) flagellar biosynthesis sigma factor [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00774	6	281	+	flhD	15-290/360	========/====..	2/2	76.39	70.76	vfdb	YP_001006784	(flhD) flagellar transcriptional activator FlhD [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00775	6	561	+	flhC	6-564/582	========/======	3/5	95.36	74.82	vfdb	YP_001006783	(flhC) flagellar biosynthesis transcription activator FlhC [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00776	13	842	+	motA	13-842/888	========/======	3/4	93.24	73.68	vfdb	YP_001006782	(motA) flagellar motor protein MotA [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00779	25	480	+	cheW	25-480/498	========/======	2/2	91.37	75.27	vfdb	YP_001006779	(cheW) purine-binding chemotaxis protein CheW [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
94222	PROKKA_00781	37	857	+	cheR	1-821/828	========/======	8/8	98.67	70.06	vfdb	YP_001006776	(cheR) chemotaxis methyltransferase CheR [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]	
