#FILE ecoh card plasmidfinder resfinder vfdb argannot megares ncbi ecoli_vf
100535 2 50 3 8 179 10 65 6 111
100658 2 52 4 10 179 12 66 8 111
102333 2 50 4 8 179 11 65 6 111
102335 1 43 1 4 155 6 55 3 94
102338 1 43 2 4 155 6 55 3 94
103477 1 38 2 3 152 4 50 2 93
103504 1 43 1 4 155 6 55 3 94
106981 1 43 1 4 154 6 55 3 94
111772 1 40 1 4 152 6 52 3 94
113877 1 38 1 3 151 4 50 2 93
113879 1 38 1 3 152 4 50 2 93
113891 1 38 1 3 153 4 50 2 93
11514 1 38 2 3 153 5 50 2 97
132426 2 50 2 8 179 11 65 6 111
136943 2 50 2 8 179 11 65 6 111
137426 2 48 2 6 179 8 62 4 110
138448 2 49 2 7 179 10 64 5 111
141266 1 38 1 3 151 4 50 2 93
142725 2 52 2 10 179 13 66 8 111
145704 2 52 3 10 179 13 67 8 111
27431 1 42 1 3 151 5 54 2 91
27668 2 46 1 4 161 6 60 2 92
32790 1 38 2 3 152 4 50 2 93
49535 2 46 1 4 160 6 60 2 92
79106 2 48 2 6 179 8 62 4 110
85427 2 49 2 7 178 10 64 5 111
85877 1 52 3 9 164 12 63 8 99
88982 2 50 2 8 179 11 65 6 111
91549 2 50 2 8 179 11 65 6 111
92044 2 56 6 13 178 15 71 11 111
93702 2 54 4 11 179 13 67 9 112
94222 2 51 2 9 179 12 66 7 111
94721 2 54 4 11 178 13 67 9 112
94831 1 38 1 3 153 4 50 2 93
97219 2 54 4 11 179 13 67 9 112
97504 1 38 1 3 152 4 50 2 93
99339 1 43 1 4 155 6 55 3 94
99341 1 43 1 4 155 6 55 3 93
